symbol,source,published_at,headline,summary,clean_text,event_type,is_routine,is_potentially_negative,impact_direction,severity_score,confidence_score,flag_reason,parser_version,human_label,human_comment,raw_id
360ONE,NSE_CORP_ANN,,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.,ESOP/ESOS/ESPS 360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637 Shares.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENSOL,NSE_CORP_ANN,,General Updates,"Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.","General Updates Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Copy of Newspaper Publication,Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.,Copy of Newspaper Publication Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Suspension of Trading,"Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.","Suspension of Trading Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Incorporation,Adani Enterprises Limited has informed the Exchange about Incorporation,Incorporation Adani Enterprises Limited has informed the Exchange about Incorporation,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Record Date,Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.,Record Date Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Outcome of Board Meeting,"Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.","Outcome of Board Meeting Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ABCAPITAL,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.,ESOP/ESOS/ESPS Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753 Shares.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ALKEM,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates Alkem Laboratories Limited has informed the Exchange about Schedule of meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ALKEM,NSE_CORP_ANN,,Appointment,"Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr. Sunil Sawant as Senior Management Personnel of the company w.e.f. December 16, 2025.","Appointment Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr. Sunil Sawant as Senior Management Personnel of the company w.e.f. December 16, 2025.",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AMBER,NSE_CORP_ANN,,General Updates,Amber Enterprises India Limited has informed the Exchange that the Company is planning to invest Rs. 500 Crore for expansion of its state-of-the-art Research & Development (R&D) Centre in Punjab.,General Updates Amber Enterprises India Limited has informed the Exchange that the Company is planning to invest Rs. 500 Crore for expansion of its state-of-the-art Research & Development (R&D) Centre in Punjab.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AMBUJACEM,NSE_CORP_ANN,,General Updates,Ambuja Cements Limited has informed the Exchange about Capital Market Q&A on - Amalgamation of ACC Limited and Orient Cement Limited with Ambuja Cements Limited,General Updates Ambuja Cements Limited has informed the Exchange about Capital Market Q&A on - Amalgamation of ACC Limited and Orient Cement Limited with Ambuja Cements Limited,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AMBUJACEM,NSE_CORP_ANN,,Press Release,Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,Press Release Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AMBUJACEM,NSE_CORP_ANN,,Amalgamation/Merger,Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,Amalgamation/Merger Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
ANGELONE,NSE_CORP_ANN,,Updates,"Angel One Limited has informed the Exchange regarding ' AngelOne Limited has been awarded ISO 22301:2019 Certification for its Business ContinuityManagement System (BCMS) by Intertek Certification Limited on December 22, 2025'.","Updates Angel One Limited has informed the Exchange regarding ' AngelOne Limited has been awarded ISO 22301:2019 Certification for its Business ContinuityManagement System (BCMS) by Intertek Certification Limited on December 22, 2025'.",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
