symbol,source,headline,summary,published_at,nse_category,raw,score
360ONE,NSE_CORP_ANN,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.,,,"{'symbol': '360ONE', 'desc': 'ESOP/ESOS/ESPS', 'dt': '18122025174415', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/IIFLWAM_18122025174051_20251218AllotmentofESOPssigned.pdf', 'sm_name': '360 ONE WAM LIMITED', 'sm_isin': 'INE466L01020', 'an_dt': '18-Dec-2025 17:44:15', 'sort_date': '2025-12-18 17:44:15', 'seq_id': '106471532', 'smIndustry': None, 'orgid': None, 'attchmntText': '360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 17:44:16', 'difference': '00:00:01', 'fileSize': '182.81 KB', 'attFileSize': '182.81 KB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,General Updates,"Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.",,,"{'symbol': 'ADANIENSOL', 'desc': 'General Updates', 'dt': '22122025163018', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_22122025163002_ATSOL_Global_IFSC_Intimation.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '22-Dec-2025 16:30:18', 'sort_date': '2025-12-22 16:30:18', 'seq_id': '106473943', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '22-Dec-2025 16:30:18', 'difference': '00:00:00', 'fileSize': '178.27 KB', 'attFileSize': '178.27 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Copy of Newspaper Publication,Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.,,,"{'symbol': 'ADANIENT', 'desc': 'Copy of Newspaper Publication', 'dt': '19122025202332', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_19122025202321_AELRecorddateIntimationNewspaper.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '19-Dec-2025 20:23:32', 'sort_date': '2025-12-19 20:23:32', 'seq_id': '106472731', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '19-Dec-2025 20:23:32', 'difference': '00:00:00', 'fileSize': '5.61 MB', 'attFileSize': '5.61 MB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Suspension of Trading,"Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.",,,"{'symbol': 'ADANIENT', 'desc': 'Suspension of Trading', 'dt': '19122025175547', 'attchmntFile': '-', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '19-Dec-2025 17:55:47', 'sort_date': '2025-12-19 17:55:47', 'seq_id': '106472559', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '19-Dec-2025 17:55:48', 'difference': '00:00:01', 'fileSize': '0 Bytes', 'attFileSize': '0 Bytes', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Incorporation,Adani Enterprises Limited has informed the Exchange about Incorporation,,,"{'symbol': 'ADANIENT', 'desc': 'Incorporation', 'dt': '18122025230359', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_18122025230346_AELIntimationMDL18122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '18-Dec-2025 23:03:59', 'sort_date': '2025-12-18 23:03:59', 'seq_id': '106471906', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Incorporation', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 23:04:00', 'difference': '00:00:01', 'fileSize': '161.28 KB', 'attFileSize': '161.28 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Record Date,Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.,,,"{'symbol': 'ADANIENT', 'desc': 'Record Date', 'dt': '17122025210045', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025205644_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 21:00:45', 'sort_date': '2025-12-17 21:00:45', 'seq_id': '106470713', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 21:00:46', 'difference': '00:00:01', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Outcome of Board Meeting,"Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.",,,"{'symbol': 'ADANIENT', 'desc': 'Outcome of Board Meeting', 'dt': '17122025205205', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025204731_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 20:52:05', 'sort_date': '2025-12-17 20:52:05', 'seq_id': '106470708', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 20:52:07', 'difference': '00:00:02', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ABCAPITAL,NSE_CORP_ANN,ESOP/ESOS/ESPS,Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.,,,"{'symbol': 'ABCAPITAL', 'desc': 'ESOP/ESOS/ESPS', 'dt': '17122025172449', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ABCAPITAL_17122025172436_ESOPse17Dec2025signed.pdf', 'sm_name': 'Aditya Birla Capital Limited', 'sm_isin': 'INE674K01013', 'an_dt': '17-Dec-2025 17:24:49', 'sort_date': '2025-12-17 17:24:49', 'seq_id': '106470481', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 17:24:50', 'difference': '00:00:01', 'fileSize': '628.45 KB', 'attFileSize': '628.45 KB', 'hasXbrl': True}",0.0
ALKEM,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet,,,"{'symbol': 'ALKEM', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '23122025114452', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ALKEM_23122025114400_ScheduleofInvestorMeet_December_2025_Signed.pdf', 'sm_name': 'Alkem Laboratories Limited', 'sm_isin': 'INE540L01014', 'an_dt': '23-Dec-2025 11:44:52', 'sort_date': '2025-12-23 11:44:52', 'seq_id': '106474843', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Alkem Laboratories Limited has informed the Exchange about Schedule of meet', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '23-Dec-2025 11:44:54', 'difference': '00:00:02', 'fileSize': '365.80 KB', 'attFileSize': '365.80 KB', 'hasXbrl': True}",0.0
ALKEM,NSE_CORP_ANN,Appointment,"Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr. Sunil Sawant as Senior Management Personnel of the company w.e.f. December 16, 2025.",,,"{'symbol': 'ALKEM', 'desc': 'Appointment', 'dt': '16122025111304', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ALKEM_16122025111212_Reg30Appointmentofsunil_Dec25_Signed.pdf', 'sm_name': 'Alkem Laboratories Limited', 'sm_isin': 'INE540L01014', 'an_dt': '16-Dec-2025 11:13:04', 'sort_date': '2025-12-16 11:13:04', 'seq_id': '106469176', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr. Sunil Sawant as Senior Management Personnel of the company w.e.f. December 16, 2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '16-Dec-2025 11:13:05', 'difference': '00:00:01', 'fileSize': '604.16 KB', 'attFileSize': '604.16 KB', 'hasXbrl': True}",0.0
