symbol,source,published_at,headline,summary
360ONE,NSE_CORP_ANN,,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.
ABB,NSE_CORP_ANN,,General Updates,ABB India Limited has informed the Exchange about General Updates
ABB,NSE_CORP_ANN,,Trading Window,"ABB India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
AUBANK,NSE_CORP_ANN,,Allotment of Securities,"AU Small Finance Bank Limited has informed the Exchange regarding allotment of 271991 securities pursuant to ESOP/ESPS at its meeting held on December 12, 2025"
ADANIENSOL,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors
ADANIENSOL,NSE_CORP_ANN,,General Updates,Adani Energy Solutions Limited has informed the Exchange about Execution of Share Purchase Agreement for Acquiring 100% Equity shares of KPS III HVDC Transmission Limited
ADANIENT,NSE_CORP_ANN,,Record Date,Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.
ADANIENT,NSE_CORP_ANN,,Outcome of Board Meeting,"Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025."
ADANIENT,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Enterprises Limited has informed the Exchange about Schedule of meet
ADANIENT,NSE_CORP_ANN,,Copy of Newspaper Publication,Adani Enterprises Limited has informed the Exchange about Copy of Newspaper Publication for the matters relating to Rights Issue
ADANIENT,NSE_CORP_ANN,,Acquisition,Adani Enterprises Limited has informed the Exchange about Acquisition
ADANIENT,NSE_CORP_ANN,,Rights Issue,Allotment of partly paid up equity shares on rights basis
ADANIGREEN,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Green Energy Limited has informed the Exchange about Schedule of meet
ABCAPITAL,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.
ABCAPITAL,NSE_CORP_ANN,,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,Aditya Birla Capital Limited has informed the Exchange about receipt of Certificate of Registration as Non-Banking Financial Company-Investment and Credit Company ( NBFC-ICC )
ABCAPITAL,NSE_CORP_ANN,,General Updates,Aditya Birla Capital Limited has informed the Exchange regarding 'the update on tax litigation of subsidiary company'.
ALKEM,NSE_CORP_ANN,,Appointment,"Alkem Laboratories Limited has informed the Exchange regarding Appointment of Mr. Sunil Sawant as Senior Management Personnel of the company w.e.f. December 16, 2025."
ALKEM,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Schedule of meet
ALKEM,NSE_CORP_ANN,,Cessation,"Alkem Laboratories Limited has informed the Exchange regarding Cessation of Mr. Vijay Shetty as Senior Management Position  of the company w.e.f. December 12, 2025."
ALKEM,NSE_CORP_ANN,,Copy of Newspaper Publication,Alkem Laboratories Limited has informed the Exchange about Copy of Newspaper Publication
AMBER,NSE_CORP_ANN,,General Updates,Amber Enterprises India Limited has informed the Exchange that the Company is planning to invest Rs. 500 Crore for expansion of its state-of-the-art Research & Development (R&D) Centre in Punjab.
ANGELONE,NSE_CORP_ANN,,Trading Window,"Angel One Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
ASHOKLEY,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Ashok Leyland Limited has informed the Exchange about Schedule of  Investor meet
ASIANPAINT,NSE_CORP_ANN,,Trading Window,"Asian Paints Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
AUROPHARMA,NSE_CORP_ANN,,General Updates,"Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-IV of APL Healthcare Limited, a wholly owned subsidiary of the Company"
AUROPHARMA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Aurobindo Pharma Limited has informed the Exchange about Schedule of meet
AUROPHARMA,NSE_CORP_ANN,,General Updates,"Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-V of Apitoria Pharma Private Limited, a wholly owned subsidiary of the Company"
DMART,NSE_CORP_ANN,,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.
DMART,NSE_CORP_ANN,,Updates,Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.
AXISBANK,NSE_CORP_ANN,,Change in Director(s),Axis Bank Limited has informed the Exchange regarding Change in Director(s) of the company.
AXISBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Axis Bank Limited has informed the Exchange regarding Allotment of 245902  Shares.
AXISBANK,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Axis Bank Limited has informed the Exchange about Presentation
BSE,NSE_CORP_ANN,,Change in Management,BSE Limited has informed the Exchange about re-designation of Key Management Personnel and Senior Management
BSE,NSE_CORP_ANN,,Outcome of Board Meeting,"BSE Limited has informed the Exchange regarding Outcome of Board Meeting held on December 17, 2025."
BSE,NSE_CORP_ANN,,Action(s) taken or orders passed,BSE Limited has informed the Exchange about Action(s) taken or orders passed.
BSE,NSE_CORP_ANN,,Change in Director(s),BSE Limited has informed the Exchange regarding Change in Director(s) of the company.
BAJAJ-AUTO,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Bajaj Auto Limited has informed the Exchange regarding Allotment of 240230  Shares.
BANDHANBNK,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,"Bandhan Bank Limited has informed the Exchange about Update on the Analysts / Institutional Investors Meet held on December 18, 2025"
BANDHANBNK,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,"Bandhan Bank Limited has informed the Exchange about Update on Analysts / Institutional Investors Meet held on December 17, 2025."
BANDHANBNK,NSE_CORP_ANN,,Resignation of Independent director,BANDHAN BANK LIMITED has informed the Exchange about Resignation of Independent director.
BANDHANBNK,NSE_CORP_ANN,,Change in Director(s),Bandhan Bank Limited has informed the Exchange regarding Change in Director(s) of the company.
BANDHANBNK,NSE_CORP_ANN,,Shareholders meeting,"Bandhan Bank Limited has submitted the Exchange, the Voting Results of Postal Ballot, along with a copy of the Scrutinizer's Report."
BANDHANBNK,NSE_CORP_ANN,,General Updates,"Bandhan Bank Limited has informed the Exchange about Schedule of Analysts / Institutional Investors Meets to be held on December 17, 2025 and December 18, 2025."
BANKBARODA,NSE_CORP_ANN,,General Updates,Bank Of Baroda has informed the Exchange about Subscription of Shares of Indian Digital Payment Intelligence Corporation
BANKBARODA,NSE_CORP_ANN,,General Updates,Bank Of Baroda has informed the Exchange about Group Investor Conference Intimation
BANKINDIA,NSE_CORP_ANN,,Credit Rating,Bank Of India has informed the Exchange about Credit Rating
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet
BANKINDIA,NSE_CORP_ANN,,Updates,"Bank Of India has informed the Exchange regarding 'Issue of BASEL III Compliant Tier II Bonds of Rs.2,500 Crores'."
BANKINDIA,NSE_CORP_ANN,,Appointment,"Bank Of India has informed the Exchange regarding Appointment of  Continuation of SCAs as Other of the company w.e.f. December 11, 2025."
